;Ts_01_V4;Ts_02_V4;Ts_03_V4;Ts_04_V4;Ts_05_V4;Ts_06_V4;Ts_07_V4;Ts_08_V4;Ts_09_V4;Ts_10_V4;Ts_11_V4;Ts_12_V4;Ts_13_V4;Ts_14_V4;Ts_15_V4;Ts_16_V4;Ts_17_V4;Ts_18_V4;Ts_19_V4;Ts_20_V4;Ts_21_V4;Ts_22_V4;Ts_23_V4;Ts_24_V4;Ts_25_V4;Ts_26_V4;Ts_27_V4;Ts_28_V4;Ts_29_V4;Ts_30_V4;Ts_31_V4;Ts_32_V4;Ts_33_V4;Ts_34_V4;Ts_35_V4;Ts_36_V4;Ts_37_V4;main_01_V1;main_02_V1;main_03_V1;main_04_V1;main_05_V1;main_06_V1;main_07_V1;main_08_V1;main_09_V1;main_10_V1;main_11_V1;main_12_V1;main_13_V1;main_14_V1;main_15_V1;main_16_V1;main_17_V1;main_18_V1;main_19_V1;main_20_V1;main_21_V1;main_22_V1;main_23_V1;main_24_V1;main_25_V1;main_26_V1;main_27_V1;main_28_V1;main_29_V1;main_30_V1;main_31_V1;main_32_V1;main_33_V1
Ts_31_V4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.702417503846475;NA;0.561521743207273;NA;1;0.81400013657181;0.870694118646935;0.840967842262651;0.848460153265651;NA;NA;NA;NA;0.824204840266961;NA;NA;NA;NA;0.614379084804798;0.747675303385465;NA;NA;NA;NA;0.629988783085943;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ts_32_V4;NA;-0.544606245075222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.557477328608284;NA;0.704932667795365;NA;0.81400013657181;1;0.615968498990042;0.623908682487961;0.984913655355992;NA;NA;NA;NA;0.908614538285365;NA;NA;NA;NA;0.827492242150881;NA;NA;NA;NA;NA;0.76001635671429;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ts_33_V4;NA;NA;NA;NA;NA;-0.510387796893889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.58148965400528;NA;NA;NA;0.870694118646935;0.615968498990042;1;0.693571980116502;0.639394003569681;0.597369294439228;NA;NA;NA;0.563972590626517;NA;NA;NA;NA;NA;0.663702937131802;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ts_34_V4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.530755387327546;NA;0.840967842262651;0.623908682487961;0.693571980116502;1;0.662336450453316;0.672162619380373;NA;NA;NA;0.773128528049438;NA;NA;NA;NA;0.557384006593235;0.79460493958671;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ts_35_V4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.575916898453266;NA;0.626262759847767;NA;0.848460153265651;0.984913655355992;0.639394003569681;0.662336450453316;1;NA;NA;NA;NA;0.936452345311783;NA;NA;NA;NA;0.842109599359084;NA;NA;NA;NA;NA;0.775337553280059;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ts_36_V4;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.528152785571969;NA;NA;NA;NA;NA;NA;NA;NA;0.793248418537571;NA;NA;NA;NA;NA;NA;0.66682486742604;NA;NA;NA;NA;NA;NA;0.597369294439228;0.672162619380373;NA;1;0.594667999055357;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ts_37_V4;NA;NA;NA;NA;0.781249084423087;NA;NA;NA;NA;0.573120549076705;NA;0.839373491456413;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.513407058130875;NA;NA;NA;0.697503375695968;NA;NA;NA;NA;NA;NA;NA;0.594667999055357;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.649843237289017;NA;NA;NA;NA;NA;NA
main_01_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.577150805163579;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.513149514647647;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0.665317197173282;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.696623333223264;NA;NA;NA;NA;NA;NA
main_02_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.665317197173282;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.548806130475104;NA;NA;NA;NA;NA;NA
main_03_V1;NA;-0.548741517546514;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.527211189770091;NA;0.663757108501845;NA;0.824204840266961;0.908614538285365;0.563972590626517;0.773128528049438;0.936452345311783;NA;NA;NA;NA;1;NA;0.528993634144777;NA;NA;0.91551528133349;0.595878079070543;NA;NA;NA;NA;0.732131267135047;NA;NA;NA;NA;NA;NA;NA;NA;-0.513665791981177;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
